Index,Text
1,Enclave del Ratway
2,Servigi delle Stalle di Windhelm
3,Razelan
6,Perché stai cercando un Sangue di Drago?
7,Stivali imperiali antifiamma
8,Bracciali di cuoio di Alchimia maggiore
9,Alzati in piedi
12,Vincitore della lotta
15,E così vuoi che lo riporti indietro?
19,Orecchio di Falmer
20,Consegna l'Ascia mesta a Clavicus Vile o usala per uccidere Barbas
22,Servigi di Hillevi Mare Crudele
28,Elmo a scaglie della magicka maggiore
31,Bracciali di cuoio della presa minore
32,Mi piacerebbe addestrarmi nella magia di Recupero.
35,Altare curativo
36,Bandire
37,Puoi unirti a me se vuoi.
38,Tomo magico: Respirare Sott'Acqua
41,Sei felice che i Manto della Tempesta siano al potere?
43,Riften Fishery Scene 04
45,Campo Manto della Tempesta dell'Hjaalmarch
49,Di proprietà
50,Guanti d'ebano di Alchimia maggiore
52,Saadia mi ha detto che siete degli assassini.
61,Centurione nanico
65,Potema
69,Spadone d'ebano dell'inferno
71,Sai cosa devi fare.
72,Castel Dour
78,Strumento di imbalsamazione
79,Casa di Silus Vesuius
81,di taglia rimossi da
84,Martello daedrico dello sfinimento
87,Cos'ha Joric che non va?
89,Occupanti della casa della famiglia Lylvieve
90,Chi è Elisif?
94,Lavoratore disoccupato
95,Safia
96,Scudo orchesco antifiamma
100,Vesti
101,Manto Gelido
104,Troverò la prova che ti serve.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Mucchio di fieno
112,Ascia da guerra orchesca intrappola anime
113,Stivali delle Blade
115,Pietra della Dama
119,Orsinium e gli orchi
122,Stalleo
123,Pugnale di vetro stordente
125,Corazza d'ebano
129,Elmo di pelle di Illusione maggiore
133,Devi dare una paga onesta agli argoniani.
135,Perché si sono rifugiati sottoterra?
137,Benedizione di Julianos
140,Armi e Bagagli
141,HairLineFemaleNord07
142,Cucchiaio di Wylandriah
144,Tempo di gioco
146,Forza inesorabile forte
149,HairLineMaleImperialChild01
150,(Mostri l'amuleto e la lettera sigillata ad Astrid)
155,Markarth
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,È successo qualcosa?
162,"Raggiungi questo luogo, <Alias=Dungeon>, esploralo e recupera l'oggetto <Alias=Item>"
165,Bracciali a piastre della presa
169,La torta e il diamante
171,Denuncia la fonte di skooma allo jarl di Riften
175,"Visita Breezehome, la tua nuova casa"
180,Bastone della Furia
183,Eltrys
186,Come vuoi che gestisca la faccenda?
187,Scatto turbinante 3
189,Ascia da guerra d'ebano del fulmine
191,Pugnale elfico delle bufere
192,Guardia del Rift
193,Stivali
194,Whiterun Civil War Argument Scene
196,Nemici
197,Bocca
199,Pozione del cavaliere
201,Caverna di Crystaldrift
205,Ho una domanda in merito alla statua.
206,"Hakon, Gormlaith, Felldir? Chi sono?"
216,Pugnale di vetro del consumo
219,Spadone daedrico sacro
221,"Lascia perdere, errore mio."
225,Arco daedrico del fuoco
226,Difesa risoluta
