Index,Text
2,"Убирает всю мебель из вестибюля, придает стиль, сочетающийся с главным залом."
5,"Оранжерея, Крыша"
6,Главный зал B
7,Смена дизайна вестибюля - А
14,"Кухня, Двери"
15,Козьи рога
18,"Главный зал, Дверь"
21,Картофельный суп
22,Добавление - Восточное крыло - Кухня
24,"Алхимическая лаборатория, Пол"
25,"Главный зал, Фундамент"
28,Каменный карьер
29,"Башня зачарователя, Крыша"
30,Добывать:
32,"Главный зал, Фундамент"
40,"Комната для трофеев, Двери"
46,"Башня зачарователя, Пол"
47,Добавление - Западное крыло - Оранжерея
50,Слойка с яблоками
51,"Кладовая, Каркас стен"
52,План малого дома
53,"Главный зал, Стеновые балки"
56,"Алхимическая лаборатория, Стены второго этажа"
58,Добавление - Северное крыло - Комната для трофеев
59,Поместье Озерное
62,"Алхимическая лаборатория, Двери"
66,"Изменить дизайн дома, превратив его в вестибюль"
68,"Главный зал, Стены первого уровня"
69,Сундук
72,"Спальни, Каркас стен"
78,"Главный зал, Стены второго уровня"
79,Тренировочный манекен
80,Поместье Озерное
81,Поместье Озерное
88,Что тебе нужно?
95,У меня сейчас туговато с деньгами. (<Global=BYOHHPCost> зол.)
96,Масло
97,"Главный зал, Стены первого уровня"
104,Добавление - Северное крыло - Алхимическая лаборатория
106,Wait for me at home...
108,Добавление - Восточное крыло - Библиотека
111,"Комната для трофеев, Пол"
112,Повозка. (<Global=BYOHHPCostCarriage> зол.)
114,Вестибюль - Убрать верстак
119,Мне нужно подумать об этом.
120,Главный зал - Стиль С
121,Добавление - Западное крыло - Башня зачарователя
122,Добавление - Западное крыло - Башня зачарователя
125,"Кладовая, Фундамент"
126,"Главный зал, Дверь"
127,"Комната для трофеев, Крыша"
130,"Оранжерея, Камин"
133,"Главный зал, Стены второго уровня"
134,Глина
135,"Оранжерея, Фундамент"
136,Карьерный камень
137,"Спальни, Крыша"
140,Добавление - Северное крыло - Алхимическая лаборатория
142,Корова. (<Global=BYOHHPCostCow> зол.)
144,План главного зала С
148,Главный зал - Убрать верстаки
149,Посетить свой надел во владении <Alias=Hold>
150,"Я беру бревна, <Global=BYOHHPAmountLogs> штук. (<Global=BYOHHPCostLogs> зол.)."
151,Лососевая икра
152,"Оранжерея, Пол"
154,Добавление - Северное крыло - Комната для трофеев
157,"Дом, Стропила"
165,Картофельный хлеб
168,План малого дома
170,"Дом, Стеновые балки"
171,Добавление - Северное крыло - Кладовая
176,Плотницкий верстак
177,Я беру. (<Global=BYOHHPCost> зол.)
178,"Главный зал, Стропила"
183,Добавление - Западное крыло - Спальни
184,Вино братьев Сурили
185,Распиленное бревно
188,Забудь.
191,"Главный зал, Стеновые балки"
194,Плотницкий верстак
195,"Главный зал, Пол"
197,Тренировочный манекен
200,Добавление - Западное крыло - Оранжерея
202,Добавление - Северное крыло - Кладовая
204,"Главный зал, Перекрытие второго этажа"
213,Крабовые ноги
214,"Алхимическая лаборатория, Перекрытие второго этажа"
220,Камин
221,"Главный зал, Перекрытие второго этажа"
222,Главный зал - Камень
225,"Главный зал, Фундамент"
226,"Главный зал, Крыша"
229,Добавление - Северное крыло - Алхимическая лаборатория
231,Лососевый стейк
232,"Алхимическая лаборатория, Крыша"
233,Главный зал C
240,Добавление - Восточное крыло - Оружейная
241,Могу я самостоятельно заготовить лес?
247,Добавление - Северное крыло - Кладовая
250,Добавление - Западное крыло - Спальни
251,Односпальная кровать
252,Я хочу купить лес.
255,"Главный зал, Стропила"
258,"Башня зачарователя, Стены первого этажа"
263,"Та земля, о которой мы говорили, еще не занята?"
267,"Кладовая, Крыша"
268,Добавление - Западное крыло - Спальни
273,Мне доставили твое письмо о земле на продажу. Она свободна?
278,"Кладовая, Пол"
279,Я хочу купить дом.
282,Стул
284,Гвозди
285,Замок
288,Главный зал A
290,Верстак
291,Почту за честь иметь тебя своим управителем.
292,Добавление - Западное крыло - Оранжерея
295,"Башня зачарователя, Стены второго этажа"
297,Мне бы хотелось улучшить дом - с твоей помощью.
298,"Главный зал, Стены второго уровня"
300,Виноградная кростата
307,Добавляет обстановку в стиле Рифтена.
309,Поместье Озерное
310,"Оранжерея, Стропила"
311,План малого дома
312,"Комната для трофеев, Фундамент"
313,"Дом, Крыша"
315,Стул
325,"Алхимическая лаборатория, Стены первого этажа"
331,План главного зала А
336,Тушеные крабовые ноги
339,Аргонианское кровавое вино
340,Мешок муки
341,Добывать:
343,Снежноягодная кростата
344,Суп из моллюсков
345,"Башня зачарователя, Двери"
346,Добавление - Восточное крыло - Библиотека
347,"Комната для трофеев, Каркас стен"
351,Главный зал
354,"Комната для трофеев, Стены"
356,"Главный зал, Пол"
357,"Кладовая, Двери"
358,"Башня зачарователя, Фундамент"
362,"Оранжерея, Двери"
369,Добавляет обстановку в стиле Вайтрана.
371,"Библиотека, Двери"
374,Тренировочный манекен
380,"Спальни, Пол"
381,"Оружейная, Двери"
383,"Башня зачарователя, Перекрытие второго этажа"
384,Тренировочный манекен
385,Мне нужен управитель для дома. Интересует?
386,"Дом, Стены"
387,Печь
389,Верстак
391,"Главный зал, Стропила"
394,Смена дизайна вестибюля - А
397,"Главный зал, Пол"
398,Письмо от управителя <Alias=HoldCity>а
400,"Дом, Фундамент"
402,Главный зал - Верстаки
403,Добавление - Восточное крыло - Кухня
404,"Спальни, Двери"
409,Добавление - Западное крыло - Башня зачарователя
411,"Оранжерея, Стены"
413,Добавление - Восточное крыло - Библиотека
416,Добавляет обстановку в стиле Солитьюда.
419,Можжевеловая кростата
422,Тренировочный манекен
423,"Главный зал, Дверь"
425,"Комната для трофеев, Стропила"
428,План главного зала В
429,Опрятный однокомнатный домик.
430,"Башня зачарователя, Каркас стен"
431,"Алхимическая лаборатория, Каркас стен"
432,Добавление - Северное крыло - Комната для трофеев
433,"Оранжерея, Каркас стен"
437,Кувшин молока
438,Добавление - Восточное крыло - Кухня
441,Вестибюль  - Верстак
444,"Дом, Дверь"
445,"Главный зал, Стены первого уровня"
446,Гуньяр
447,Дом - Верстак
448,Петля
449,Добавление - Восточное крыло - Оружейная
450,"Главный зал, Крыша"
452,"Дом, Пол"
453,Мне нужно подумать об этом.
454,"Кладовая, Стены"
456,"Главный зал, Стеновые балки"
460,Месторождение глины
464,"Спальни, Фундамент"
465,Односпальная кровать
466,"Главный зал, Перекрытие второго этажа"
467,"Главный зал, Крыша"
468,Дом - Убрать верстак
470,Добавление - Восточное крыло - Оружейная
473,"Алхимическая лаборатория, Фундамент"
474,Железная фурнитура
475,"Спальни, Стены"
482,Стойки для оружия (3)
494,Пшеница
497,Плотницкий верстак
505,Серое платье для девочки
512,Конечно.
515,Оружейная. (<Global=HDWindhelmArmory> зол.)
516,Плотницкий верстак
518,Витрина на столике
519,Райя
534,Малый шкаф с витриной
535,Добавление - Северное крыло - Кладовая
537,Маленькая полочка
538,Витрина на низком столе
540,"Алхимическая лаборатория, Стены первого этажа"
541,"Использовать чертежный стол, чтобы приступить к постройке своего дома"
543,"Оружейная, Пол"
544,Нордский мед (5)
547,Точильный камень
570,Буфет
574,Высокий светильник
578,Спальни - Верстак
580,Конечно.
582,Нет. Перестань донимать меня.
583,Плотницкий верстак
590,Святилище Талоса
591,Угловая полка
597,Верстак для комнаты 2
598,Подвал
604,Тумбочка
607,Что за спешка?
614,Витрина
620,"Пора домой, <Alias.ShortName=Child1>."
624,"Алхимическая лаборатория, Двери"
628,"Библиотека, Перекрытие второго этажа"
637,План комнаты 7
645,Комната 1  - Убрать верстак
655,Комната для трофеев - Верстак
659,Яйцо ястреба
667,Настенный светильник
668,"Голова хоркера, настенный трофей"
680,"Спальни, Фундамент"
687,Adopted
691,Как поживает <Alias.ShortName=Child1>?
693,"Библиотека, Пол"
695,Буфет с вазоном для растений
696,"Оранжерея, Каркас стен"
697,Книжная полка
698,Детская одежда
711,Гниль Намиры
713,Устанавливает верстак в вашем доме. Теперь там можно изготавливать мебель.
717,Тумбочка
726,Настенные светильники (2)
728,Верстак для комнаты 1B
730,Тумбочки (2)
731,Кухня - Убрать верстак
732,Высокий книжный стеллаж
736,Мишени (2)
744,Стол зачарователя
752,Драконий Мост.
754,Кошель
755,Череп дракона
769,Плотницкий верстак
771,Комната 6  - Поставить верстак
777,План комнаты 5
778,"Подставка под трофей, большая"
779,Тумбочка
787,Устанавливает верстак на кухне.
789,Верстак для комнаты 7
803,Бочка с рыбой
807,Мне передали твое письмо о земле на продажу. Предложение еще в силе?
809,Верстак для комнаты 10
811,"Где твои родители, дитя?"
813,"Кладовая, Каркас стен"
816,"У меня для тебя кое-что есть, <Alias.ShortName=Child2>."
821,Умывальник на подставке
827,Круглый стол и стулья
834,"Конечно, сколько хочешь. 1000 золотых?"
840,Комната для трофеев - Убрать верстак
843,"Ну, может, сейчас не лучшее время..."
853,"Пора в кровать, <Alias.ShortName=Child2>."
879,СТОЙКИ  ДЛЯ ОРУЖИЯ
886,Можжевельник
893,Сейф (5)
906,Навесные полки (4)
912,Большой стол с витринами
914,"Алхимическая лаборатория, Перекрытие второго этажа"
916,Стенд для оружия
918,"Голова медведя, настенный трофей"
919,Как тебе нравится ферма?
930,"Пора домой, <Alias.ShortName=Child1>."
933,"Комната для трофеев, Крыша"
938,Комод с витриной
942,Почему ты попрошайничаешь?
948,"У меня для тебя кое-что есть, <Alias.ShortName=Child2>."
953,Болотный стручок
955,Верстак для комнаты 12
961,"Подставка под трофей, большая"
967,"Да, у меня дом в Фолкрите."
972,"Комната для трофеев, Фундамент"
975,Добавление - Северное крыло - Кладовая
984,Просишь прощения? За что?
997,Комната 11  - Убрать верстак
998,Добавление - Западное крыло - Спальни
1002,"Пора домой, <Alias.ShortName=Child2>."
1005,Стенд для оружия
1014,Поместье Уиндстад
1029,"Письмо от ярла, отправитель <Alias=Jarl>"
1030,"Так какова твоя история? Повтори, пожалуйста."
1034,"Оленьи рога, настенный трофей "
1035,Я вор.
1036,Рыба-убийца
1037,Как дети?
1041,Шкаф
1044,"Кухня, Крыша"
1053,"Алхимическая лаборатория, Крыша"
1057,"Спальни, Двери"
1062,Посетить свою землю во владении <Alias=Hold>
1067,"Пора домой, <Alias.ShortName=Child1>."
1082,Ядовитый колокольчик
1083,Чертополох
1084,Картвастен.
1096,"У меня для тебя кое-что есть, <Alias.ShortName=Child1>."
1108,Высокий светильник
1111,"Извини, нет. Мои планы изменились."
1117,Как поживает <Alias.ShortName=Child1>?
1121,Цветочник
1125,Я беру это. (<Global=BYOHHPCost> зол.)
1127,"Urchin, met"
1128,Сундук
1136,Убирает верстак из кухни.
1145,Нет проблем. Вот 500 золотых.
1147,Квадратный стол
1149,"Мы поселимся в моем поместье Высокий шпиль, в Солитьюде."
1150,Грязевой краб
1152,Бочки
1153,Светящийся гриб
1155,"Мы будем жить во Влиндрел-холле, это мой дом в Маркарте."
1160,Алхимическая лаборатория. (<Global=HDMarkarthAlchemy> зол.)
1178,Как поживает <Alias.ShortName=Child1>?
1179,Комод с витриной
1181,Буфет с вазоном для растений
1191,"У меня есть поместье Уиндстад, мой дом в Хьялмарке."
1195,ЭТЕРИЕВОЕ
1199,Двемерская сфера
1203,"Не знаешь, где можно купить материалы, например, стекло или солому?"
1214,Буфет с вазоном для растений
1218,Как дети?
1226,Бочки
1227,Как поживает <Alias.ShortName=Child1>?
1229,Верстак для комнаты 8
1240,Палисадник
1241,Мне нужно подумать об этом.
1248,Комната 5
1254,В моем доме в Маркарте.
1257,Святилище Акатоша
1259,Викс
1262,Привет.
1264,Алисан
1265,"Добавляет башню, которую можно превратить в удобную библиотеку."
1268,Верстак для комнаты 7
1270,Детская. (<Global=HDMarkarthChildRoom> зол.)
1271,"Использовать плотницкий верстак, чтобы построить фундамент дома"
1282,"Кладовая, Фундамент"
1291,Как поживает <Alias.ShortName=Child1>?
1292,Забудь.
1300,"Оранжерея, Стропила"
1305,Алхимическая лаборатория - Верстак
1307,Высокий стеллаж
1310,Низкий стол
1311,"Каменный постамент, подходящий для того, чтобы ставить на него алтари божеств по вашему выбору."
1320,<Alias.ShortName=Child1>...
1326,АКСЕССУАРЫ
1327,Верстак для комнаты 11
1333,"Пора в кровать, <Alias.ShortName=Child1>."
1336,Загон для животных
1347,"Комната для трофеев, Стропила"
1349,Устанавливает верстак в библиотеке.
1356,Давай поиграем.
1360,<Alias=Home>: Обстановка
1364,В моем доме в Хьялмарке.
1369,СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ
1371,"Башня зачарователя, Перекрытие второго этажа"
1378,Святилище Стендарра
1379,Убирает верстак из комнаты для трофеев.
1380,Лес. (<Global=BYOHHPAmountLogs> за <Global=BYOHHPCostLogs> зол.)
1385,У меня сейчас туговато с деньгами. (<Global=BYOHHPCost> зол.)
1391,"Спальни, Пол"
1397,Медведь
1400,Скамья
1408,Картофель
1415,Виндхельм.
1417,В моем доме в Фолкрите.
1419,"Adoptable, not met"
1424,Настенные светильники (2)
1434,"Пора домой, <Alias.ShortName=Child1>."
1440,Подвал - Верстак
1441,Нет.
1442,Гигантский лишайник
1445,"Ну, вообще-то, давай останемся здесь."
1449,"Добавляет кухню, где можно расположить приспособления для приготовления пищи, контейнеры с едой и прочее."
1450,В чем дело?
1451,Добавление - Восточное крыло - Библиотека
1462,Круглый стол и стулья
1483,Материнская любовь
1485,"Пора домой, <Alias.ShortName=Child2>."
1486,Корень Нирна
1489,Верстак для комнаты 5
1496,Жаровня
1507,Как поживает <Alias.ShortName=Child1>?
1508,Камень Шора.
1509,Как поживает <Alias.ShortName=Child1>?
1516,Навесные полки (3)
1517,"У меня для тебя кое-что есть, <Alias.ShortName=Child1>."
1520,"Шкаф, малый"
1536,Добавляет оранжерею с ящиками для растений по выбору.
1540,Сундук
1543,"Алхимическая лаборатория, Каркас стен"
1553,В моем доме на Белом Берегу.
1554,Шкаф
1555,"Голова оленя, настенный трофей"
1572,"Оружейная, Каркас стен"
1578,Малая подставка под трофей
1580,"Для изготовления пентаграммы душ требуется великий камень душ, наполненный великой душой."
1581,Синяя одежда для мальчика
1584,"Та земля, о которой говорилось, она еще не занята?"
1592,Буфет с вазоном для растений
1597,Ворожея
1601,Как дети?
1608,Могу я усыновить одного из этих детей?
1618,"Грязевой краб, настенный трофей"
1619,"Кухня, Крыша"
1622,Верстак для комнаты 11
1627,Добавление - Северное крыло - Алхимическая лаборатория
1630,Люк
1633,Добывать:
