Index,Text
1,Galeries de la Souricière
2,Windhelm Stable Services
3,Razelan
6,Pourquoi cherchez-vous un Enfant de dragon ?
7,Bottes impériales de feu évanescent
8,Gantelets en peau d'alchimie accrue
9,Se lever
12,Brawling Victor
15,"Donc, vous voulez que je le ramène ?"
19,Oreille de Falmer
20,Donnez la Hache du chagrin au Vil Clavicus OU tuez Barbas avec la Hache du chagrin
22,Hillevi Cruel-Sea Services
28,Casque d'écailles de magie accrue
31,Gantelets en peau de poigne minime
32,Je souhaiterais une formation en magie de guérison.
35,Autel de soin
36,Bannissement
37,"Vous pouvez vous joindre à moi, si vous voulez."
38,Livre de sort - Respiration aquatique
41,Ça vous fait plaisir de voir que les Sombrages aient pris les commandes ?
43,Riften Fishery Scene 04
45,Camp des Sombrages de Hjaalmarche
49,À quelqu'un
50,Gantelets d'ébonite d'alchimie accrue
52,Saadia m'a dit que vous étiez des assassins.
61,Centurion dwemer
65,Potéma
69,Espadon d'ébonite d'incinération
71,Vous savez ce que vous avez à faire.
72,Mornefort
78,Outil d'embaumement
79,Maison de Silus Vesuius
81,: prime déduite de
84,Marteau daedra d'épuisement
87,"C'est quoi, le problème de Joric ?"
89,Lylvieve Family House Occupants
90,Qui est Élisif ?
94,Laboureur sans travail
95,Safia
96,Bouclier orque de feu évanescent
100,Vêtements
101,Aura glaciale
104,Je trouverai la preuve qu'il vous faut.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Tas de paille
112,Hache d'armes orque de piège
113,Bottes de Lame
115,Pierre de la Dame
119,Orsinium et les Orques
122,Stalleo
123,Dague de verre d'inertie
125,Armure d'ébonite
129,Casque de cuir d'illusion accrue
133,Vous devez verser un salaire honnête aux Argoniens.
135,Qu'est-ce qui les a incités à se cacher ?
137,Bénédiction de Julianos
140,Bric-à-brac
141,HairLineFemaleNord07
142,Cuillère de Wylandriah
144,Temps de jeu
146,Déferlement puissant
149,HairLineMaleImperialChild01
150,(Montrer l'amulette et la lettre cachetée à Astrid.)
155,Markarth
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,Il s'est passé quelque chose ?
162,Explorez <Alias=Dungeon> et trouvez cet objet : <Alias=Item>
165,Gantelets de plates de poigne
169,Le gâteau et le diamant
171,Informez le jarl de Faillaise de l'origine du trafic de skooma
175,"Visitez Douce Brise, votre nouvelle maison"
180,Bâton de furie
183,Eltrys
186,Comment voulez-vous que je m'en occupe ?
187,Impulsion 3
189,Hache d'armes d'ébonite de tempête
191,Dague elfique de blizzard
192,Garde de la Brèche
193,Bottes
194,Whiterun Civil War Argument Scene
196,Ennemis
197,Bouche
199,Potion du chevalier
201,Grotte de Cristalis
205,J'ai une question à propos de la statue.
206,"Hakon, Gormlaith, Felldir ? Qui sont-ils ?"
216,Dague de verre d'ingestion
219,Espadon daedra sacré
221,"Non, rien. J'ai fait erreur."
225,Arc daedra de flambée
226,Moyenne barrière
228,Faites sortir Derkeethus de la grotte
229,Bottes de l'Aube mythique
232,"Et maintenant, qu'est-ce qu'on fait ?"
234,J'ai des informations importantes pour vous.
235,Falion
236,Printemps
237,Squelette
241,Bouclier orque de glace neutralisée
255,Bottes
258,Sphère dwemer
261,Espadon dwemer
267,Faction des fantômes
268,T8r
270,Relations
274,Lettre compromettante
276,Bréton
277,Gantelets d'écailles de poigne
278,Appel de la nature 3
279,Hache d'armes orque de crainte
282,Pacification
287,J'ai caché la contrebande à bord du Sload douillet.
288,Bashnag
289,"Oui, et voilà le contenu du coffre."
291,Espadon elfique saint
293,Pourquoi ferait-il ça à sa propre famille ?
296,Ça a l'air assez facile.
297,Vache
306,Élève
310,Au rapport.
313,DialogueGenericSharedInfo
314,J'ai des questions à propos de votre fille.
315,Rappelez-moi ce que je dois faire.
320,Réparer
322,Uraccen
323,Maison de Nepos
330,Espadon de verre d'expulsion
331,Casque en peau d'alchimie minime
332,Santé
334,Flair de la bête
335,For intimidate brawling
337,Love Repository
342,Monde onirique
343,Couronne sanglante
347,"Une autre fois, peut-être..."
348,Grotte de Griseau
352,Vigilants fighting Atronach
356,Déplacer
357,Vous avez mentionné Nivenor...
361,Siphon de vigueur
368,Voyager seul peut s'avérer extrêmement dangereux.
371,Apportez des sels de givre à <Alias.ShortName=QuestGiver>
373,Clé d'Ansilvund
374,"Laissez tomber, je... j'ai commis une erreur."
377,[DANGER]
378,Delphine
379,Espadon elfique de brasier
380,AlliéTué
382,Arc elfique de brasier
383,Giant Faction
392,Pieds-dans-l'Eau
393,Coffre
397,AudioTemplateHagraven
398,Parlez-moi des rapines.
401,Bouclier en peau de glace atténuée
406,Arc daedra de bannissement
409,Forme fantomatique
410,Frost River Farm Faction
415,Comment puis-je sortir d'ici ?
419,Suivez-moi.
420,Barbehumaine41
423,Conjuration de grand golem de feu
424,Qu'est-ce que je devrai faire avec le Parchemin des Anciens quand je l'aurai trouvé ?
427,"Non, vous avez raison. Elenwen ferait mieux de rester."
431,Si on allait voir ce que votre père pense de cette lettre ?
439,Coffre d'Aringoth
444,Blond foncé
445,Blond clair
446,DA07ShrineofMehrunesDagonExitTrigger
447,Blond miel
450,Aidez les héros de Sovngarde à dissiper la brume d'Alduin
451,Auburn
452,Marron moyen
453,Marron foncé
454,Noir
459,Gris métal
462,Je n'aime pas interférer dans les affaires familiales.
465,Gris brillant
466,Vous savez pourquoi il lui en voulait ?
467,Couronne de Barenziah
469,Adepte
472,Griffes d'ours
473,GreenTintDark
476,BluishTintDark
477,Hache d'armes elfique d'absorption
484,Gantelets du loup
485,GreenTintLight
486,HumanSkinCorpse
487,Marché conclu.
491,YellowishTintAverage
492,DialogueDawnstarQuicksilverLeigelfLond02
495,ColorAverage
497,Hache d'armes de givre nordique antique affûtée
498,RedTintDeep
499,Filnjar
501,Hache d'armes elfique de dégradation
502,RedTintAverage
507,BluishTintAverage
509,BrownTintAverage
510,"Au final, j'ai tué votre adversaire."
511,Arc orque d'éclairs
512,HumanSkinBaseTan
513,RedTintDark
514,RedTintLight
515,Esprit gardien du smilodon
517,HumanSkinDarkSkin01
522,Adressez-vous à Esbern
523,Maître
526,LowerSocketRed01
527,White Phial Services
528,HumanSkinBaseWhite04
531,10 000 pièces d'or. (Mentir)
532,HumanSkinBaseWhite05
533,Oeuf de grive
534,HumanSkinBasePale01
537,HumanSkinDarkSkin04
539,HumanSkinDarkSkin05
540,Loup-garou sanguinaire
544,OrcSkin03
546,OrcSkin04
547,HighElfSkin01
548,HighElfSkin02
549,C'est celui qui a attaqué Helgen quand Ulfric a échappé aux Impériaux.
550,HighElfSkin03
552,HighElfSkin04
557,YellowTintBright
558,BluishTintLight
559,Venez en aide aux gens de la Crevasse. (<Global=FriendsCountReach>/<Global=FriendsTotalMajorHold>)
560,BlackBrownBase
562,Vert
565,Titus Mede II est mort. C'est moi qui l'ai tué.
568,Jaune
570,Ferme de Pelagia
571,Bleus
574,Nirnroot
575,Aigle carmin
576,"Laissez tomber, peut-être plus tard."
579,Aire d'Âprevent
581,Arc orque de flammes
582,Coffre
583,Marron
584,Orange
585,Noir
586,Présentations aux Sombrages
587,Comment puis-je détruire les ruches ?
588,Voici le livre que vous cherchiez.
589,Bleus
590,Vert
591,Grotte de Cristalis
592,Je ne peux rien pour vous.
593,Ralof
596,Vous savez pourquoi il vous en voulait ?
598,HumanSkinBaseWhite07
601,Déferlement moyen
603,Feu
605,Hache dwemer de réduction
606,Parchemin - Surzombie
607,HumanSkinBaseWhite09
609,Dites-moi où trouver ça et je m'en charge.
610,Je peux faire quelque chose ?
612,WarpaintRed01
613,Ambassade du Thalmor - Donjon
614,Garde des sorciers
616,Crochetage
617,WarpaintRed03
623,Adepte de Boéthia
625,Je ne connais pas votre frère.
627,Rank = which mission was last successful
629,WarpaintBlue03
630,WarpaintBlue04
631,Drowned Sorrows
633,MQ201 Thalmor Faction
634,WarpaintGreen02
635,WarpaintGreen03
638,WarpaintOrange02
641,WarpaintYellow01
642,Chef des bandits
643,Le retour de Tranchedur
647,Vous avez l'air d'avoir soif.
648,Alambic de maître
649,HumanSkinDarkSkin09
650,HumanSkinDarkSkin06
654,Conjuration de familier
656,HumanSkinDarkSkin07
662,Fantôme dunmer
667,DialogueMarkarthHagsCureSceneMuiriBothela04
671,DarkElfSkin02
673,Vous avez un plan ?
674,Camp militaire impérial
675,DarkElfSkin03
678,dunRannveigQSTLOSTTOCOMBAT
679,DarkElfSkin05
680,Parlez-moi de vos parents.
681,EviterMenace
682,Aura de perception
687,HairShavedMaleOrc12
688,HighElfSkin05
690,Vous ne pouvez pas lancer de sorts à distance sous l'eau
691,Mythes de Shéogorath
698,WoodElfSkin04
