Index,Text
1,Tel Mithryn
3,Cittadella di Ashfallow
4,Fuoco
5,Forte Frostmoth
6,Tumulo di Gyldenhul
7,Tomba di Vahlok
8,Pietra della Bestia
9,Benkongerike
10,Forte Frostmoth
11,Tempio di Miraak
12,Casa di Hrodulf
13,Roccia del Corvo
14,Lancia al suolo un ragno velenoso saltatore che si scaglia sui nemici vicini ed esplode all'impatto.
15,Forte Frostmoth
16,
17,Rovine di Castel Karstaag
18,Caverne di Castel Karstaag
19,Fahlbtharz
20,Kagrumez
21,Pietra della Terra
22,Pietra dell'Acqua
23,Gigante
24,Ragno esplosivo
25,Casa di Hrodulf
26,Ragno velenoso saltatore
27,Nchardak
28,Isola degli horker
29,Apocrypha
30,Apocrypha
31,Torre di Highpoint
32,Ritiro di Bujold
33,Tel Mithryn
34,Apocrypha
36,Tomba di Vahlok
37,Tumulo del Bianco Rilievo
39,Apocrypha
40,Miniera di Roccia del Corvo
41,Tempio di Miraak
42,Pietra dell'Acqua
43,Benkongerike
44,Tumulo di Kolbjorn
48,Altare di Thrond
49,Ragno fiammeggiante saltatore
50,Apocrypha
52,Tumulo di Kolbjorn
53,Pietra dei Venti
54,Tumulo del Bianco Rilievo
55,Dirupo di Frostmoon
56,Casotto abbandonato
57,Pietra dei Venti
58,Miniera della Zanna Rotta
59,Secca di Haknir
60,Isola degli horker
61,Approdo di Northshore
62,Lancia al suolo un ragno fiammeggiante saltatore che si scaglia sui nemici vicini ed esplode all'impatto.
63,Cittadella di Ashfallow
64,Relitto della Folata Stridente
65,Tumulo di Bloodskal
66,Fahlbtharz
68,Folata Stridente
69,Tumulo di Kolbjorn
70,Tumulo del Bianco Rilievo
71,Sai cosa devi fare.
72,Roccia del Corvo
73,Ragno fiammeggiante
74,Fuoco
75,Kagrumez
76,Veleno del ragno
77,Villaggio Skaal
78,Veleno
79,Nchardak
80,Passo di Moesring
81,Frossel
82,Bosco di Brodir
83,Rovine di Castel Karstaag
84,Ragno infuso
85,Dirupo di Frostmoon
86,Villaggio Skaal
87,Altare di Thrond
88,Tumulo di Gyldenhul
89,Bosco di Brodir
90,Thirsk
91,
92,Abissale
93,Kagrumez
94,Frossel
95,Pericolo di fuoco
96,Tumulo di Gyldenhul
97,Pietra del Sole
99,Pericolo di veleno
100,Frossel
101,Tempio di Miraak
102,Ritiro di Bujold
103,Miniera di Roccia del Corvo
104,Ragno fiammeggiante saltatore
105,Pietra della Terra
106,Sala degli incontri di Thirsk
107,Passo di Moesring
108,Ragno velenoso saltatore
109,Apocrypha
110,Apocrypha
111,Fuoco
112,Ragno congelante
113,Tomba di Vahlok
114,Secca di Haknir
115,Pietra della Bestia
116,Fahlbtharz
117,Solstheim
118,Miniera della Zanna Rotta
119,Pietra del Sole
120,Approdo di Northshore
123,Zombi aracnoide
124,Ragno fiammeggiante occultato
125,Solstheim
127,Piedistallo di controllo
128,Sala degli incontri di Thirsk
131,Scia di fuoco del ragno fiammeggiante
132,Ulves
133,Puoi paralizzare il bersaglio per <dur> secondi.
134,Abilità del ragno fiammeggiante
135,Corazza di cenere
137,Acquedotto di Nchardak
138,Maniglia
139,Ragno esplosivo
141,Addome danneggiato di ragno albino
142,Evoca Guardiano di cenere
144,Grande volta di Nchardak
146,Corazza di cenere
150,Libro Nero: Acume epistolare
151,Nota misteriosa
153,"Crea un Guardiano di cenere che presidia l'area finché non viene distrutto. Consuma una pietra del cuore dall'inventario. Senza la pietra, il Guardiano è ostile."
155,Gli esseri a cui si attacca questo ragno combattono al tuo fianco per 30 secondi.
156,Lancia al suolo un ragno morto che esplode quando i nemici si avvicinano.
158,Drovas Relvi
159,DLC2Ralis
160,Assorbimento difesa PNG
161,Frea
162,Elynea Mothren
164,Camera d'infusione
165,Servigi di Neloth
167,Sfrutta il punto runico nelle vicinanze per scagliare in aria chi lancia l'incantesimo.
169,Ragno fiammeggiante saltatore
170,Baccello di erba cinerea
171,Runa di cenere
172,Storn
173,Addome di ragno albino
174,Storn Solca Dirupi
175,Necromago PNG
176,Gli avversari vicini hanno una probabilità di essere scagliati lontano.
177,Danno Mantello turbinante
178,Neloth
179,Furia
181,Runa della frenesia
182,Cucine di Tel Mithryn
183,Fazione Guardiano di cenere
184,Camminare sull'Acqua
185,Drovas
186,Tomo magico: Runa della frenesia
189,Elynea
190,Runa della frenesia
191,I bersagli che non resistono all'incantesimo vengono intrappolati in cenere solida per <dur> secondi.
192,Lancia dei riekling
194,Armatura magica PNG
195,Fazione Tel Mithryn
202,Benkongerike
203,Talvas Fathryon
204,Caverna glaciale
205,Gli avversari vicini hanno una probabilità di essere scagliati lontano per <dur> secondi.
207,Creature e persone di livello <mag> o inferiore attaccheranno chiunque nelle vicinanze per <dur> secondi.
208,Danno Mantello turbinante
209,Servigi di Talvas
211,Armatura magica PNG
