Index,Text
1,ラットウェイ・ウォーレンズ
2,ウィンドヘルム馬屋サービス
3,ラゼラン
6,ドラゴンボーンを探している理由は？
7,帝国軍のブーツ(焦熱減少)
8,皮の錬金術の腕当て(大)
9,立つ
12,格闘の勝者
15,つまり、彼を連れ戻したいわけか？
19,ファルメルの耳
20,クラヴィカス・ヴァイルに悔恨の斧を渡す、または悔恨の斧でバルバスを殺す
22,ヒレヴィ・クルーエル・シー・サービス
28,スケールのマジカの兜(大)
31,皮の万力の腕当て(小)
32,回復魔法の訓練を受けたい
35,治癒の祭壇
36,バニッシュ
37,仲間になるのを歓迎しよう
38,呪文の書: 水中呼吸
41,ストームクロークの統治には満足しているか？
43,リフテン水産のシーン04
45,ハイヤルマーチ・ストームクロークの野営地
49,所有
50,黒檀の錬金術の篭手(大)
52,お前達は暗殺者だとサーディアから聞いた
61,ドワーフ・センチュリオン
65,ポテマ
69,黒檀のグレートソード(業火)
71,自分がやるべき事は分かっているだろう
72,ドール城
78,エンバーミング・ツール
79,サイラス・ヴェスイウスの家
81,賞金取下げ:
84,デイドラの戦鎚(消耗)
87,ジョリックがどうかしたのか？
89,リルヴィエーブ家の住人
90,エリシフとは誰だ？
94,職にあぶれた労働者
95,サフィア
96,オークの盾(火減少)
100,服
101,氷のマント
104,必要な証拠を見つけてこよう
108,Dialogue (needs to sit under CW and CWCampaign)
111,干し草の山
112,オークの両手斧(捕魂)
113,ブレイズのブーツ
115,淑女の石碑
119,オルシニウムとオーク
122,ストーリオ
123,碧水晶のダガー(気絶)
125,黒檀の鎧
129,革の幻惑術の兜(大)
133,アルゴニアンに適正な賃金を払うべきだ
135,なぜ彼らは地下に逃げた？
137,ジュリアノスの祝福
140,ビッツ・アンド・ピーセズ
141,HairLineFemaleNord07
142,ウィランドリアのスプーン
144,プレイ時間
146,揺るぎ無き力(強)
149,HairLineMaleImperialChild01
150,(アストリッドにアミュレットと封書を見せる)
155,マルカルス
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,何かあったのか？
162,<Alias=Dungeon> を探検して <Alias=Item> を回収する
165,スチールプレートの万力の腕当て
169,ケーキとダイヤモンド
171,スクゥーマの出所をリフテンの首長に報告する
175,新しい家、ブリーズホームへ行く
