Index,Text
1,Składowisko Szczurzych Nor
2,Stajnia Wichrowego Tronu - usługi
3,Razelan
6,Dlaczego szukasz Smoczego Dziecięcia?
7,Cesarskie buty gasnących płomieni
8,Rzemieniowe karwasze lepszej alchemii
9,Stój
12,Zwycięzca bójki
15,Więc mam go sprowadzić z powrotem?
19,Ucho Falmera
20,Oddaj Clavicusowi Złośliwemu Topór Smutku ALBO zabij nim Barbasa
22,Hillevi Okrutne-Morze - usługi
28,Łuskowy hełm lepszej magii
31,Rzemieniowe karwasze pomniejszego pewnego chwytu
32,Chcę potrenować magię przywracania.
35,Uzdrawiający ołtarz
36,Wypędzenie
37,Oczywiście możesz do mnie dołączyć.
38,Księga czarów: Oddychanie pod Wodą 
41,"Cieszy cię, że rządzą Gromowładni?"
43,Przystań rybacka w Pękninie - scena 04
45,Obóz Gromowładnych w Hjaalmarch
49,Należy do kogoś
50,Ebonowe rękawice lepszej alchemii
52,Saadia mi powiedziała - ścigacie ją jako zabójcy.
61,Krasnoludzki centurion
65,Potema
69,Ebonowy wielki miecz inferna
71,"Wiesz, co musisz zrobić."
72,Zamek Dour
78,Narzędzie do balsamowania
79,Dom Silusa Vesuiusa
81,cofnięto nagrodę z
84,Daedryczny młot bojowy wyczerpania
87,Co się dzieje z Jorikiem?
89,Domownicy rodziny Lylvieve
90,Kim jest Elisif?
94,Bezrobotny robotnik
95,Safia
96,Orkowa tarcza gasnącego ognia
100,Ubiór
101,Płaszcz Mrozu
104,"Znajdę dowód, którego potrzebujesz."
108,Rozmowa (musi zostać podpięta pod CW oraz pod kampanię CW)
111,Stóg siana
112,Orkowy topór bojowy spętania duszy
113,Buty Ostrzy
115,Kamień Damy
119,Orsinium i orkowie
122,Stalleo
123,Szklany sztylet oszołomienia
125,Ebonowa zbroja
129,Skórzany hełm lepszej iluzji
133,Masz płacić Argonianom uczciwą stawkę.
135,"Co spowodowało, że uciekli pod ziemię?"
137,Błogosławieństwo Julianosa
140,To i Tamto
141,HairLineFemaleNord07
142,Łyżka Wylandriah
144,Czas gry
146,Nieugięta Siła - silna
149,HairLineMaleImperialChild01
150,(Pokaż Astrid amulet i zapieczętowany list)
155,Markart
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,Czy coś się stało?
162,"<Alias=Dungeon> to miejsce, w którym masz znaleźć przedmiot <Alias=Item>"
165,Płytowe karwasze pewnego chwytu
169,Ciasto i diament
171,Poinformuj jarla Pękniny o źródle skoomy
175,"Odwiedź Wietrzny Domek, twą nową siedzibę "
180,Kostur Furii
183,Eltrys
186,Jak mam to załatwić?
187,Trąba Powietrzna 3
189,Ebonowy topór bojowy błyskawic
191,Elfi sztylet zamieci
192,Strażnik Rift
193,Buty
194,Scena dyskusji w sprawie wojny domowej w Białej Grani
196,Wrogowie
197,Usta
199,Mikstura rycerza
201,Kryształowa Jaskinia
205,Mam pytanie odnośnie posążka.
206,"Hakon, Gormlaith, Felldir? Kim oni są?"
216,Szklany sztylet pochłaniania
219,Święty daedryczny wielki miecz
221,Nieważne. Mój błąd.
225,Daedryczny łuk ognia
226,Znak - niezachwiany
228,Wydostań Derkeethusa z jaskini
229,Buty Mitycznego Brzasku
232,Co teraz robimy?
234,Mam dla ciebie ważną informację.
235,Falion
236,Skacz
237,Szkielet
241,Orkowa tarcza tłumienia mrozu
255,Buty
258,Krasnoludzka sfera
261,Krasnoludzki wielki miecz
267,Duchy - organizacja
268,T8r
270,Relacje
274,Kompromitujący list
276,Breton
277,Łuskowe karwasze pewnego chwytu
278,Zew Dziczy 3
279,Orkowy topór bojowy strachu
282,Uspokojenie
287,Udało mi się podrzucić kontrabandę na Wybrednego Ropucha.
288,Bashnag
289,"Tak, a oto, co znajdowało się w sejfie."
291,Szlachetny elfi wielki miecz
293,Dlaczego miałby to zrobić własnej rodzinie?
296,To powinno być łatwe.
297,Krowa
306,Student
310,Melduję się.
313,DialogueGenericSharedInfo
314,Mam pytania dotyczące twojej córki.
315,Przypomnij mi - co mam zrobić?
320,Napraw
322,Uraccen
323,Dom Neposa
330,Szklany wielki miecz przegnania
331,Rzemieniowy hełm pomniejszej alchemii
332,Zdrowie
334,Zapach Krwi
335,Do zastraszania bójką 
337,Magazyn miłości
342,Świat Snów
343,Krwawiąca korona
347,Może innym razem.
348,Grota Szarych Wód
352,Strażnicy walczący z Atronachem
356,Przesuń
357,Z twoich ust padło imię Nivenor.
361,Absorpcja kondycji
368,Samotne podróże mogą być bardzo niebezpieczne...
371,Przynieś garść soli mrozu osobie znanej jako <Alias.ShortName=QuestGiver>
373,Klucz do Ansilvund
374,Nieważne. Ja... Coś mi się pomyliło.
377,[NIEBEZPIECZEŃSTWO]
378,Delphine
379,Elfi wielki miecz pożogi
380,SojusznikZabity
382,Elfi łuk pożogi
383,Giganci - organizacja
392,Stoi-Na-Płyciźnie
393,Kufer
397,Szablon audio wiedźmokruk
398,Opowiedz mi o robocie przy sprzątaniu.
401,Rzemieniowa tarcza ginącego mrozu
406,Daedryczny łuk wypędzenia
409,Duchowa Postać 
410,Gospodarstwo Zmarzła Rzeka - organizacja
415,Jak mogę się stąd wydostać?
419,Chodź ze mną.
420,HumanBeard41
423,Przyzwij silnego sługę płomieni
424,"A co, gdy już znajdę Prastary Zwój?"
427,"Nie, masz rację. Elenwen powinna zostać."
431,"Może sprawdzimy, co twój ojciec sądzi o tym liście?"
439,Sejf Aringotha
444,Ciemny blond
445,Lekki blond
446,DA07KapliczkaMehrunesaDagonWyjścieWłącznik
447,Miodowy blond
450,Pomóż bohaterom Sovngardu rozproszyć mgłę Alduina
451,Kasztanowy
452,Średniobrązowy
453,Ciemnobrązowy
454,Czarny
459,Stalowoszary
462,Nie lubię wtrącać się w rodzinne sprawy.
465,Jasnoszary
466,"Wiesz, o co tu chodziło?"
467,Korona Barenziah
469,Czeladnik
472,Pazury niedźwiedzia
473,GreenTintDark
476,BluishTintDark
477,Elfi topór bojowy pijawki
484,Wilcze rękawice
485,GreenTintLight
486,HumanSkinCorpse
487,Mamy umowę.
491,YellowishTintAverage
492,DialogGwiazdaZarannaRtęćLeigelfLond02
495,ColorAverage
497,Naostrzony pradawny norski topór bojowy lodu
498,RedTintDeep
499,Filnjar
501,Elfi topór bojowy uszczuplenia sił 
502,RedTintAverage
507,BluishTintAverage
509,BrownTintAverage
510,Twój wróg zginął z mojej ręki.
511,Orkowy łuk porażenia
512,HumanSkinBaseTan
513,RedTintDark
514,RedTintLight
515,Duch opiekuńczy kota szablozębnego
517,HumanSkinDarkSkin01
522,Pomów z Esbernem
523,Mistrz
526,LowerSocketRed01
527,Biała Ampułka - usługi
528,HumanSkinBaseWhite04
531,10 000 sztuk złota. (Kłamstwo)
532,HumanSkinBaseWhite05
533,Jajo drozda
534,HumanSkinBasePale01
537,HumanSkinDarkSkin04
539,HumanSkinDarkSkin05
540,Wilkołak - Pan Bestii
544,OrcSkin03
546,OrcSkin04
547,HighElfSkin01
548,HighElfSkin02
549,"To ten, który zaatakował Helgen, gdy Ulfric uciekł cesarskim."
550,HighElfSkin03
552,HighElfSkin04
557,YellowTintBright
558,BluishTintLight
559,Pomóż mieszkańcom Pogranicza (<Global=FriendsCountReach>/<Global=FriendsTotalMajorHold>)
560,BlackBrownBase
562,Zielony
565,Titus Mede II nie żyje... Zginął z mojej ręki.
568,Żółty
570,Farma Pelagia
571,Niebieski
574,Korzeń nirnu
575,Czerwony Orzeł 
576,"Nieważne, może później."
579,Gniazdo na Wietrznej Rubieży
581,Orkowy łuk skwaru
582,Kufer
583,Brązowe
584,Pomarańczowy
585,Czarny
586,W szeregach Gromowładnych
587,Jak mam zniszczyć ule?
588,"Oto księga, której szukasz."
589,Niebieski
590,Zielony
591,Kryształowa Jaskinia
592,Nie mogę ci pomóc.
593,Ralof
596,"Wiesz, dlaczego chciał cię zabić?"
598,HumanSkinBaseWhite07
601,Nieugięta Siła - średnia
603,Ogień 
605,Krasnoludzki topór wojenny umniejszania
606,Zwój Straszliwego Zombie
607,HumanSkinBaseWhite09
609,"Zdobędę ją dla ciebie, jeśli powiesz mi, gdzie mam szukać."
610,Czy mogę coś zrobić?
612,WarpaintRed01
613,"Ambasada Thalmoru, lochy"
614,Strażnik czarodziejów
616,Otwieranie zamków
617,WarpaintRed03
623,Kultysta Boethiah
625,Nie znam twojego brata.
627,Ranga = ostatnie wykonane zadanie
629,WarpaintBlue03
630,WarpaintBlue04
631,Utopione smutki
633,MQ201 Thalmor - organizacja
634,WarpaintGreen02
635,WarpaintGreen03
638,WarpaintOrange02
641,WarpaintYellow01
642,Herszt bandytów
643,Powrót Ponurego Siekacza
647,"Zdaje się, że chce ci się pić."
648,Alembik mistrza
649,HumanSkinDarkSkin09
650,HumanSkinDarkSkin06
654,Przywołanie Chowańca
656,HumanSkinDarkSkin07
662,Duch Dunmera
667,RozmowaMarkartWiedźmiWywarScenaMuiriBothela04
671,DarkElfSkin02
673,Jaki jest plan?
674,Obóz wojskowy Cesarstwa
675,DarkElfSkin03
678,dunRannveigQSTLOSTTOCOMBAT
679,DarkElfSkin05
680,Opowiedz mi o swoich rodzicach.
681,UniknijZagrożenia
682,Szept Aury
687,HairShavedMaleOrc12
688,HighElfSkin05
690,"Nie możesz rzucać zaklęć dystansowych, będąc pod wodą."
691,Mity o Sheogoracie
698,WoodElfSkin04
700,Stóg siana
703,Cesarskie buty odporności na porażenie
707,OrcMaleLipColor02
708,OrcMaleLipColor03
711,OrcMaleLipColor04
714,DarkElfMaleLips01
718,Daedryczny topór wojenny zimy
720,Daedryczny wielki miecz unieważnienia
721,Więc co robisz?
722,Trumna
723,HighElfLips01
724,Spętany Łuk
725,LipsHighElfMale02
726,LipsHighElfMale03
727,Dom Erikura - scena 2
728,Tunel z Warowni Trevy
729,"Jeśli masz zbyt dużo celów, sprawdź w dzienniku, czy posiadasz więcej niż jedno aktywne zadanie. W kategorii „Różne” możesz włączyć lub wyłączyć każdy cel."
730,LipsHighElfMale05
733,Stalowe buty siły
734,LipsWoodElfMale01
735,Żelazny topór bojowy mrozu
736,LipsWoodElfMale02
739,"Szkoła przywoływania wykorzystywana jest do ożywiania umarłych, przyzywania istot z jednej z płaszczyzn Otchłani i chwytania w pułapkę dusz przeciwników zabitych w walce."
741,Szklany wielki miecz piorunów
742,Miodosytnia Czarnej-Róży - scena 02
744,LipsWoodElfMale05
746,Beczka
747,Gildia Złodziei: scena rozmowy 10
748,LipsRedguardMale02
750,Klucz do więzienia w Gwieździe Zarannej
751,Pieczony udziec wołowy
753,A może <Alias=SonsMajorHoldCapital>?
754,LipsRedguardMale03
760,LipsRedguardMale05
761,LipsRedguardFemale01
762,Szklany hełm niezwykłego przywołania
764,Stojak na tarcze
766,Urna pogrzebowa
771,Reduta w Zaginionej Dolinie
772,Wytworna tunika
776,Futrzane karwasze
777,TYMCZ - PO CIEMKU
778,Pomów z jarlem Białej Grani
779,Zlecenie: zabij Herna
780,Draugr
782,"Mam zaklęcie ochronne, ale nigdy nie zdarzyło mi się go rzucić."
783,"Masz jeszcze ten list, który trzeba dostarczyć?"
784,Za zabójstwami stoi Madanach!
786,Odłamki Brzytwy Mehrunesa
787,FemaleEyesHumanLightBlue
789,Myślisz czasem o przeprowadzce do Morrowind?
790,Wampiryczne Wyssanie
791,Mam dostawę od Romlyna.
792,Siddgeir
793,Pod Pszczelim Żądłem - scena 15
798,"Pojawia się tylko wtedy, gdy gracz należy do Gromowładnych"
806,HairLineMaleNord5
807,Piwnica Mauhulakha
809,Chcesz ukraść tego konia?
812,Drewniana brama
813,Muszę się jeszcze przygotować.
814,Zanieś beczułkę z miodem osobie o imieniu <Alias=TG03SPJarlAlias>
815,Krasnoludzka buława wyładowania
818,Wykrycie Życia
829,Wiek
831,Wieża Calcelma
832,Premia do zdrowia
833,Arivanya
837,Czy prowadzisz własne uprawy?
839,Elfi wielki miecz zamieci
841,Dowiedz się więcej na temat Neposa
846,Krzesło
856,Dom górnika
860,"Właściwie to jest coś, co możesz dla mnie zrobić."
862,Czego chcesz?
863,Ambitny mag
866,A Czerwoniak?
867,Szepczące drzwi
870,Runa Ognia
880,Mocy można używać tylko raz dziennie.
881,Zwierzęce Oddanie 1
898,Co jest nie tak z twoim uczniem?
900,Krąg Ochronny
901,Premia do blokowania
903,Orkowa tarcza
904,Tymczasowe obniżenie magii
905,Idź z Brynjolfem
908,Dlaczego wstąpiłeś w szeregi Renegatów?
910,Co cię trapi?
911,Dom Endona
913,Letarg Vaerminy
915,Rozmowa - Grobowiec Zmierzchu
918,Kruczoczarny
920,Po co ta tajemnica?
921,Hroki
922,DźwiękKategoriaAMB
930,DźwiękKategoriaVOC
931,DźwiękKategoriaBrakVOC
932,Głos
936,Żelazna okuta zbroja
937,FemaleEyesOrcYellow
938,MG Sala tronowa - scena 5
939,Siedziba Gerdurs w Rzecznej Puszczy - organizacja
945,"Nowe rozkazy, panie?"
946,Nieugięta Siła
948,BrownTintDark
950,"Większości podążających za tobą przyjaciół i najemników można wydać polecenie interakcji ze światem. Mogą otwierać drzwi, podnosić przedmioty, iść do określonych lokacji czy atakować wrogów."
954,Niewykrywalność 
955,Okład z ognika
956,Elfi topór bojowy plonów
957,Niewidzialne dziecko
959,Zabójcza trucizna strachu
961,Farma Hlaalu
967,Szklany łuk letargu
968,Witaj.
969,Imię gracza
973,Eteryczność 
974,Zgnilizna mózgu
976,Więzień 
978,Plecak
979,Spotkaj się z Jonem Dziecięciem-Wojny przy posągu Talosa
985,"Lepiej pójdę zobaczyć, co Arngeir wie o tym Krzyku."
986,"Mogę złamać ci kilka kości, jeśli mnie do tego zmusisz..."
987,Jakich zabezpieczeń mogę się spodziewać?
990,Dlaczego boisz się Hevnoraaka?
991,Stalowe rękawice pewnego chwytu
995,Lilith Dziewicze-Krosno
998,"Uwierzysz mi, jeśli powiem, że zesłano mi wizję?"
1000,Słowo Mocy
1002,Czyste Niebiosa
1003,Co teraz mam robić?
1008,"Widzę, że cały czas obłapiasz wzrokiem tę dziewkę służebną."
1009,Jajo kurczaka
1012,Cesarskie buty lepszego skradania
1013,Zabójcza awersja do porażenia
1018,Anuluj
1019,Ebonowe buty gasnącego porażenia
1020,Sarthis Idren nie będzie już sprawiać kłopotów.
1025,"Sprawdzam tylko, jak nam idzie. Wszystko dobrze?"
1031,DialogueGenericDestroyObject
1032,Łuczarz
1034,"Masz na myśli mnie, prawda?"
1035,Udało mi się pokonać Alduina.
1036,Spowolnienie Czasu
1038,Stajnie w Wichrowym Tronie
1040,Azzadal
1044,Obiecujesz mi służyć?
1045,Zew Męstwa
1046,MarksFemaleHumanoid05LeftGash
1050,Orkowy łuk wiązania
1055,Kula Ognista
1056,Lodowy Kolec (tylko dla SMOKÓW)
1059,Mroźny Oddech
1060,Kufer
1063,Ohydny wyziew
1066,Mroźny Oddech
1068,Łabadżak
1069,"Czy mogę spytać, skąd pochodzi to całe mięso?"
1071,Naostrzony pradawny norski wielki miecz chłodu
1072,Daedryczny hełm niezwykłej iluzji
1079,Elfi topór wojenny wycieńczenia
1081,Zwinne palce
1082,Zwierzęce Oddanie
1084,Zniechęcenie
1086,Kostur wypędzenia
1092,Daj mi ten list. Zaniosę mu go.
1094,Specjalna zdolność paraliżu
1095,Premia do kondycji
1096,Szept Aury
1097,Podatność na porażenie
1100,Kamień Cienia
1102,Skazany na Śmierć 
1104,"W sumie nie wiem, czy było warto."
1109,Szklany miecz gromadzenia
1110,Jaki masz związek z Thalmorem?
1111,Co takiego niezwykłego jest w tym mieczu?
1112,Pokój Kyne
1114,Zanieś popiersie Szarego Lisa do Delvina
