Index,Text
1,Auriels Bogen
3,Armbrusthalterung
9,Talreh
11,Du verwandelst dich in den Vampirfürsten.
13,Quick Test Cell
16,Vampirfürst
19,Sonnenlicht einfangen
20,Sorine
23,Durnehviir
26,Albino
27,Vampirfürstenfähigkeiten
33,Durnehviir beschwören
35,D6
36,Festung Dämmerwacht
37,Neh
39,Hestla
43,Falmerstab
48,Wächter von Stendarr
49,Hakar
60,Arkngthamz
63,Auriels Schild
74,Serana
76,Dämmerwachtnovize Hakar
83,Festung Volkihar
87,Burg Volkihar
89,Feran Sadri
94,Florentius Baenius
98,Ronthil
100,BrowsMaleSnowElf
101,Frostmantel
103,Dawnguard Novice (06 / Whiterun Caches)
106,V3r
116,Durnehviir beschwören
123,Whiterun Cache Tracking
128,Dämmerwachttruhe
131,Jenseits des Todes
138,"Beschwöre einen Drachen aus dem Seelengrab, der für dich kämpft."
141,Ungesehene Visionen
145,Schwere Falmerstiefel
146,Berührung des Himmels
156,Fledermäuse!
158,Moderige Ruinen
159,Dämmerwachtvampirjäger
162,Hjaalmarch/Pale/Winterhold Cache Tracking
163,Vampiraschehaufen
166,Reach/Haafingar Cache Tracking
167,Dawnguard Outrider (07 / Northlands Caches)
173,Gesundheit verringert
181,Dämmerwachtbefehle: Hakar
186,Rargal
189,Durchsuchen
190,Flammen
193,Dämmerhöhlenkaverne
196,Canyon der Morgendämmerung
208,Sanguinare Vampiris
209,Warum könnten die Vampire die Wächter angegriffen haben?
211,Vampirassassine
217,Vampirmaskerade
230,Garan
238,
243,Vingalmo
244,HairLineMaleSnowElf01
246,Trap Linker
249,Vampirfürst
260,Schwerer Falmerhelm
265,Dämmerwachtbefehle: Lynoit
269,Trap Linker
270,Sorine Jurad
271,Draugr
272,Dämmerwachtbefehle: Saliah
275,Jagdbogen
277,Its baaaaaack
281,Feran
286,Vampirfürst
294,Agmaer
299,Hochelf
302,Orthjolf
304,Seelengrab
305,Vergessenes Tal
308,Schrift der Dämmerung
314,Wächter jagen Vampire
316,MaleHeadHighElfSnow
317,Vampirjäger
318,Schwindlernest
319,Verringert Gesundheit um <mag>. Wird zu Vampirismus.
321,Gletscherspalte
322,Schwere Falmerrüstung
324,Schwindlernest
327,Quick Test Cell
330,Serana
334,Blutwitterung
335,Volkihar-Krypta
342,Durnehviir beschwören
348,Volkihar-Ruinen
349,Dämmerwachttruhenschlüssel
352,Meister der Nacht
355,MaleEyesSnowElf
359,Garan Marethi
360,Stalf
363,Salonia
364,Salonia Caelia
365,Isran
366,Schwere Falmerpanzerhandschuhe
367,Vampirfüsrst
368,Gunmar
370,Florentius
373,Vampirhöfling
375,Vampirassassine
376,Tolan
377,Wächter Tolan
378,Erzvikar Vyrthur
379,Stahlbolzen
396,Stahlbolzen
410,Leben entziehen
414,Fura Blut-Mund
417,Fura
420,Fürst der Nacht
421,Leuchtendes Reh
424,Kerkerzelle
427,Trübhöhlengruft
435,Vampirberührung
436,Armbrust
443,HairMaleSnowElf
455,Vampirfürstengestalt
459,Rargal Sklaven-Meister
478,Kehre zu <Alias=QuestGiver> zurück.
483,"Ich habe gehört, dass Ihr vielleicht Hilfe gebrauchen könntet."
484,...
486,Fehlendes Emblem
489,Habt Ihr etwas über den Besuch eines Mottenpriesters in Drachenbrügge gehört?
491,Bauplan einer verbesserten Armbrust
492,Wie seid Ihr hergekommen?
493,Rekrutiere Sorine Jurard.
496,Wie verwandle ich sie in einen Vampir?
500,Its baaaaaack
501,Aschenwein
503,Zwergenarmbrust der Betäubung
