Index,Text
1,Тель-Митрин
3,Пепельная крепость
4,Огонь
5,Форт Морозного Мотылька
6,Курган Гильденхул
7,Гробница Валока
8,Камень Зверя
9,Бенконгерик
10,Форт Морозного Мотылька
11,Храм Мирака
12,Дом Хродульфа
13,Воронья Скала
14,"Помещает на землю ядовитого паука-прыгуна, который бросается на ближайших врагов и взрывается, если приземляется рядом с ними."
15,Форт Морозного Мотылька
16,
17,Руины замка Карстаг
18,Пещеры замка Карстаг
19,Фалбтарз
20,Кагрумез
21,Камень Земли
22,Камень Воды
23,Giant
24,Взрывающийся паук
25,Дом Хродульфа
26,Ядовитый паук-прыгун
27,Нчардак
28,Остров Хоркеров
29,Апокриф
30,Апокриф
31,Вершинная башня
32,Пристанище Буйольд
33,Тель-Митрин
34,Апокриф
36,Гробница Валока
37,Курган Белого Хребта
39,Апокриф
40,Шахта Вороньей Скалы
41,Храм Мирака
42,Камень Воды
43,Бенконгерик
44,Курган Колбьорн
48,Алтарь Тронда
49,Пламенный паук-прыгун
50,Апокриф
52,Курган Колбьорн
53,Камень Ветра
54,Курган Белого Хребта
55,Утес Морозной Луны
56,Заброшенный постоялый двор
57,Камень Ветра
58,Шахта Сломанный Клык
59,Отмель Хакнира
60,Остров Хоркеров
61,Северная пристань
62,"Помещает на землю пламенного паука-прыгуна, который бросается на ближайших врагов и взрывается, если приземляется рядом с ними."
63,Пепельная крепость
64,Место крушения Порыва ветра
65,Курган Бладскал
66,Фалбтарз
68,Порыв ветра
69,Курган Колбьорн
70,Курган Белого Хребта
71,"Ты знаешь, что тебе делать."
72,Воронья Скала
73,Пламенный паук
74,Огонь
75,Кагрумез
76,Паучий яд
77,Деревня Скаалов
78,Яд
79,Нчардак
80,Проход Моэсринг
81,Фроссель
82,Роща Бродира
83,Руины замка Карстаг
84,Заряженный паук
85,Утес Морозной Луны
86,Деревня Скаалов
87,Алтарь Тронда
88,Курган Гильденхул
89,Роща Бродира
90,Тирск
91,
92,Луркер
93,Кагрумез
94,Фроссель
95,Угроза огня
96,Курган Гильденхул
97,Камень Солнца
99,Ядовитая ловушка
100,Фроссель
101,Храм Мирака
102,Пристанище Буйольд
103,Шахта Вороньей Скалы
104,Пламенный паук-прыгун
105,Камень Земли
106,Медовый зал Тирска
107,Проход Моэсринг
108,Ядовитый паук-прыгун
109,Апокриф
110,Апокриф
111,Огонь
112,Frostbite Spider
113,Гробница Валока
114,Отмель Хакнира
115,Камень Зверя
116,Фалбтарз
117,Солстейм
118,Шахта Сломанный Клык
119,Камень Солнца
120,Северная пристань
123,Zombie by Spider
124,Окутанный пламенем паук
125,Солстейм
127,Колонка управления
128,Медовый зал Тирска
131,Пламенный след огненного паука
132,Улвес
133,Шанс парализовать цель на <dur> с.
134,Способности пламенного паука
135,Пепельная скорлупа
137,Акведук Нчардака
138,Рукоятка
139,Взрывающийся паук
141,Поврежденное брюшко паука-альбиноса
142,Вызов пепельного стража
144,Большой зал Нчардака
146,Пепельная скорлупа
150,Черная книга: Острое перо
151,Таинственная записка
153,"Создает пепельного стража, который охраняет территорию, пока не будет уничтожен. Расходует сердечный камень из вашего рюкзака, без которого существо будет враждебно."
155,"Существа и люди, к которым прикреплен этот паук, будут сражаться за вас в течение 30 секунд."
156,"Помещает на землю мертвого паука, который взрывается, если враг подходит слишком близко."
158,Дровас Релви
159,DLC2Ralis
160,NPC Ward Absorb
161,Фрея
162,Элинея Мотрен
164,Камера зарядки
165,Neloth Services
167,"Использует ближайшую Крестовую точку, чтобы подбросить заклинателя в воздух. "
169,Пламенный паук-прыгун
170,Стручок пепельной травы
171,Пепельная руна
172,Сторн
173,Брюшко паука-альбиноса
174,Сторн Горный Странник
175,NPC Necromage
176,Противники на расстоянии рукопашной атаки имеют шанс быть унесенными вихрем.
177,Урон от вихревого плаща
178,Нелот
179,Ярость
181,Руна бешенства
182,Кухня Тель-Митрина
183,Ash Guardian Faction
184,Хождение по воде
185,Дровас
186,Том заклинаний: Руна бешенства
189,Элинея
190,Руна бешенства
191,"Цели, если сопротивление не сработало, покрываются твердой пепельной оболочкой и не могут двигаться в течение <dur> с."
192,Копье риклинга
194,NPC Mage Armor
195,Tel Mithryn Faction
202,Бенконгерик
203,Талвас Фатрион
204,Ледяная пещера
205,В течение <dur> с противники на расстоянии рукопашной атаки имеют шанс быть унесенными вихрем.
207,Существа и люди уровня <mag> и ниже атакуют всех подряд в течение <dur> с.
208,Урон от вихревого плаща
209,Talvas Services
211,NPC Mage Armor
212,Zombie by Spider
215,NPC Summoner
216,Бросок
217,Вихревой плащ
219,Staff Enchanting Mult
222,NPC Augmented Frost
223,Взрывающийся паук
224,Пепельный страж
225,Ледяная пещера
227,NPCAugmented Shock
229,Паралич 100%
234,NPC Recovery
235,Том заклинаний: Вихревой плащ
237,Оживление зомби
